FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
IBS035,HG01698,HG01699,HG01697,M,IBS,EUR
IBS036,HG01701,HG01700,HG01702,M,IBS,EUR
IBS037,HG01703,HG01705,HG01704,M,IBS,EUR
IBS038,HG01706,HG01708,HG01707,F,IBS,EUR
IBS039,HG01711,HG01709,HG01710,F,IBS,EUR
IBS041,HG01748,HG01747,HG01746,M,IBS,EUR
IBS044,HG01755,HG01756,HG01757,F,IBS,EUR
IBS046,HG01763,HG01761,HG01762,F,IBS,EUR
IBS049,HG01772,HG01771,HG01770,F,IBS,EUR
IBS050,HG01774,HG01775,HG01773,M,IBS,EUR
IBS051,HG01778,HG01777,HG01776,M,IBS,EUR
IBS052,HG01780,HG01781,HG01779,M,IBS,EUR
IBS053,HG01782,HG01783,HG01784,F,IBS,EUR
BB01,HG01881,HG01879,HG01880,F,ACB,AFR
BB03,HG01884,HG01885,HG01956,F,ACB,AFR
BB04,HG01887,HG02014,HG01886,M,ACB,AFR
BB02,HG01888,HG01882,HG01883,M,ACB,AFR
BB05,HG01891,HG01890,HG01889,F,ACB,AFR
BB06,HG01895,HG01912,HG01894,M,ACB,AFR
BB07,HG01897,HG02013,HG01896,M,ACB,AFR
PEL007,HG01898,HG01892,HG01893,F,PEL,AMR
BB09,HG01916,HG01914,HG01915,F,ACB,AFR
PEL006,HG01919,HG01917,HG01918,F,PEL,AMR
PEL009,HG01922,HG01920,HG01921,F,PEL,AMR
PEL010,HG01925,HG01923,HG01924,F,PEL,AMR
PEL011,HG01928,HG01926,HG01927,M,PEL,AMR
PEL013,HG01934,HG01932,HG01933,M,PEL,AMR
PEL014,HG01937,HG01935,HG01936,M,PEL,AMR
PEL015,HG01940,HG01938,HG01939,F,PEL,AMR
PEL016,HG01943,HG01941,HG01942,M,PEL,AMR
PEL017,HG01946,HG01944,HG01945,M,PEL,AMR
PEL018,HG01949,HG01947,HG01948,F,PEL,AMR
PEL019,HG01952,HG01950,HG01951,M,PEL,AMR
PEL020,HG01955,HG01953,HG01954,F,PEL,AMR
BB10,HG01959,HG01986,HG01958,F,ACB,AFR
BB11,HG01960,HG01988,HG01989,F,ACB,AFR
PEL023,HG01969,HG01967,HG01968,F,PEL,AMR
PEL024,HG01972,HG01970,HG01971,F,PEL,AMR
PEL25,HG01975,HG01974,HG01973,F,PEL,AMR
PEL26,HG01978,HG01977,HG01976,F,PEL,AMR
PEL27,HG01981,HG01979,HG01980,F,PEL,AMR
PEL28,HG01984,HG01982,HG01983,M,PEL,AMR
